Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   1.8   1   216   0.01648   0.42   -1   1   4   0.3   left   1   
2   0.766667   1   72   0.01648   0.42   -1   1   4   0.3   right   0   
3   0.85   4   144   0.12139   0.42   1   1   4   0.3   left   0   
4   0.85   1   0   0.01648   0.42   1   1   4   0.3   right   1   
5   0.833333   1   0   0.12139   0.42   1   1   4   0.3   right   1   
6   0.833333   4   0   0.04472   0.42   -1   1   4   0.3   right   0   
7   0.733333   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
8   0.833333   1   0   0.04472   0.42   1   1   4   0.3   right   1   
9   0.833333   1   288   0.01   0.42   1   1   4   0.308333   left   0   
10   0.8   4   288   0.027144   0.42   -1   1   4   0.3   right   0   
11   0.716667   1   216   0.2   0.42   -1   1   4   0.3   left   1   
12   0.783333   1   288   0.01648   0.42   1   1   4   0.3   right   1   
13   1.08333   4   0   0.01   0.42   1   1   4   0.308333   right   1   
14   0.783333   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
15   0.916666   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
16   0.866666   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
17   1.25   4   72   0.01648   0.42   -1   1   4   0.3   left   1   
18   0.866666   4   72   0.04472   0.42   1   1   4   0.3   right   1   
19   0.95   4   216   0.01   0.42   -1   1   4   0.308333   right   0   
20   1.03333   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
21   1.61667   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
22   0.866666   1   144   0.04472   0.42   1   1   4   0.3   left   0   
23   0.816667   1   72   0.2   0.42   1   1   4   0.3   right   1   
24   0.933333   4   144   0.2   0.42   1   1   4   0.3   right   1   
25   0.9   1   144   0.12139   0.42   1   1   4   0.3   right   1   
26   0.833333   4   216   0.04472   0.42   1   1   4   0.3   left   0   
27   0.833333   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
28   0.933333   4   288   0.01648   0.42   -1   1   4   0.3   right   0   
29   1.5   4   72   0.12139   0.42   1   1   4   0.3   left   0   
30   0.833333   1   72   0.027144   0.42   1   1   4   0.3   left   0   
31   1.08333   4   144   0.027144   0.42   -1   1   4   0.3   right   0   
32   1.11667   4   288   0.2   0.42   1   1   4   0.3   left   0   
33   0.983333   1   216   0.01   0.42   1   1   4   0.308333   left   0   
34   0.833333   1   288   0.07368   0.42   -1   1   4   0.3   left   1   
35   0.85   1   0   0.12139   0.42   -1   1   4   0.3   left   1   
36   0.866666   4   0   0.01648   0.42   1   1   4   0.3   right   1   
37   0.9   4   72   0.04472   0.42   -1   1   4   0.3   left   1   
38   1.3   4   0   0.12139   0.42   1   1   4   0.3   right   1   
39   1.46667   1   144   0.07368   0.42   -1   1   4   0.3   right   0   
40   3.31666   4   144   0.04472   0.42   -1   1   4   0.3   right   0   
41   1.03333   1   288   0.04472   0.42   1   1   4   0.3   right   1   
42   1.15   4   288   0.12139   0.42   1   1   4   0.3   right   1   
43   2.35   1   216   0.2   0.42   1   1   4   0.3   right   1   
44   0.8   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
45   0.8   1   144   0.027144   0.42   1   1   4   0.3   left   0   
46   1.06667   4   216   0.2   0.42   1   1   4   0.3   left   0   
47   0.85   1   144   0.04472   0.42   -1   1   4   0.3   left   1   
48   0.816667   1   72   0.027144   0.42   -1   1   4   0.3   left   1   
49   0.883333   4   288   0.04472   0.42   1   1   4   0.3   left   0   
50   0.816667   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
51   0.816667   4   72   0.2   0.42   -1   1   4   0.3   left   1   
52   0.7   1   0   0.2   0.42   1   1   4   0.3   right   1   
53   0.816667   1   216   0.04472   0.42   1   1   4   0.3   right   1   
54   0.75   1   72   0.2   0.42   -1   1   4   0.3   left   1   
55   0.9   1   0   0.027144   0.42   1   1   4   0.3   right   1   
56   0.85   4   0   0.2   0.42   1   1   4   0.3   left   0   
57   1.58333   1   216   0.01   0.42   -1   1   4   0.308333   left   1   
58   0.816667   1   72   0.12139   0.42   -1   1   4   0.3   left   1   
59   0.866666   1   216   0.027144   0.42   1   1   4   0.3   left   0   
60   0.716667   4   0   0.2   0.42   -1   1   4   0.3   left   1   
61   0.833333   4   144   0.01   0.42   1   1   4   0.308333   left   0   
62   0.916666   4   216   0.027144   0.42   -1   1   4   0.3   right   0   
63   0.883333   1   144   0.01648   0.42   1   1   4   0.3   right   1   
64   0.916666   4   216   0.027144   0.42   1   1   4   0.3   left   0   
65   0.9   1   144   0.01648   0.42   -1   1   4   0.3   left   1   
66   0.766667   1   72   0.04472   0.42   1   1   4   0.3   right   1   
67   1.0   4   0   0.027144   0.42   1   1   4   0.3   right   1   
68   0.933333   4   216   0.01648   0.42   -1   1   4   0.3   left   1   
69   0.75   1   288   0.2   0.42   -1   1   4   0.3   left   1   
70   0.966666   4   0   0.04472   0.42   1   1   4   0.3   left   0   
71   0.783333   1   288   0.12139   0.42   1   1   4   0.3   right   1   
72   0.866666   4   144   0.01648   0.42   -1   1   4   0.3   right   0   
73   0.866666   4   144   0.01   0.42   -1   1   4   0.308333   right   0   
74   0.966666   4   288   0.01   0.42   -1   1   4   0.308333   right   0   
75   0.95   4   72   0.027144   0.42   1   1   4   0.3   right   1   
76   0.85   1   288   0.2   0.42   1   1   4   0.3   right   1   
77   0.833333   4   144   0.07368   0.42   1   1   4   0.3   left   0   
78   0.8   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
79   0.766667   1   72   0.12139   0.42   1   1   4   0.3   right   1   
80   0.883333   4   0   0.01   0.42   -1   1   4   0.308333   right   0   
81   0.766667   4   216   0.07368   0.42   1   1   4   0.3   left   0   
82   0.683333   4   144   0.12139   0.42   -1   1   4   0.3   right   0   
83   0.983333   4   0   0.027144   0.42   -1   1   4   0.3   right   0   
84   0.716667   4   288   0.04472   0.42   -1   1   4   0.3   left   1   
85   0.9   1   288   0.027144   0.42   1   1   4   0.3   left   0   
86   0.65   1   288   0.07368   0.42   1   1   4   0.3   right   1   
87   0.75   4   216   0.12139   0.42   1   1   4   0.3   left   0   
88   0.65   1   144   0.07368   0.42   1   1   4   0.3   right   1   
89   0.933333   1   72   0.01648   0.42   1   1   4   0.3   right   1   
90   0.7   1   0   0.027144   0.42   -1   1   4   0.3   left   1   
91   0.766667   4   0   0.01648   0.42   -1   1   4   0.3   left   1   
