Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.966666   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
2   0.833333   4   0   0.2   0.42   1   1   4   0.3   left   0   
3   0.816667   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
4   0.9   1   288   0.04472   0.42   1   1   4   0.3   right   1   
5   0.85   1   72   0.12139   0.42   1   1   4   0.3   right   1   
6   0.816667   4   144   0.027144   0.42   1   1   4   0.3   left   0   
7   1.08333   1   288   0.01   0.42   -1   1   4   0.308333   left   1   
8   1.0   4   144   0.04472   0.42   1   1   4   0.3   right   1   
9   0.883333   4   72   0.04472   0.42   -1   1   4   0.3   left   1   
10   1.23333   4   288   0.01648   0.42   -1   1   4   0.3   left   1   
11   1.16667   4   72   0.027144   0.42   -1   1   4   0.3   right   0   
12   1.11667   4   144   0.07368   0.42   1   1   4   0.3   left   0   
13   1.15   1   216   0.07368   0.42   1   1   4   0.3   right   1   
14   1.83333   1   216   0.01   0.42   -1   1   4   0.308333   right   0   
15   1.18333   1   0   0.07368   0.42   1   1   4   0.3   right   1   
16   0.95   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
17   1.01667   1   216   0.027144   0.42   1   1   4   0.3   left   0   
18   1.05   4   0   0.04472   0.42   1   1   4   0.3   left   0   
19   1.1   4   216   0.07368   0.42   1   1   4   0.3   left   0   
20   0.933333   4   144   0.01648   0.42   -1   1   4   0.3   left   1   
21   1.08333   1   0   0.01   0.42   1   1   4   0.308333   right   1   
22   1.2   1   144   0.12139   0.42   1   1   4   0.3   right   1   
23   1.05   4   72   0.01   0.42   1   1   4   0.308333   left   0   
24   1.03333   4   288   0.12139   0.42   1   1   4   0.3   left   0   
25   1.06667   4   216   0.027144   0.42   1   1   4   0.3   left   0   
26   1.26667   1   0   0.027144   0.42   -1   1   4   0.3   left   1   
27   1.13333   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
28   1.73333   1   216   0.04472   0.42   1   1   4   0.3   left   0   
29   1.4   1   216   0.01648   0.42   -1   1   4   0.3   right   0   
30   1.86667   4   216   0.027144   0.42   -1   1   4   0.3   left   1   
31   1.51667   4   144   0.2   0.42   -1   1   4   0.3   left   1   
32   1.43333   4   288   0.027144   0.42   -1   1   4   0.3   left   1   
33   1.2   1   72   0.04472   0.42   1   1   4   0.3   left   0   
