trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 1 0.3 0.0164754897244 4.0 0.2 0.42 22.0 left 0 29.4452559948 29.7460570335 30.0384590626 30.7280430794
2 0.3 0.3 1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 right 1 30.7486059666 31.049405098 31.3418681622 31.9872350693
3 0.3 0.3 -1 0.3 0.121392446201 4.0 0.8 0.42 22.0 left 1 32.0101940632 32.3109371662 32.6034491062 33.0494101048
4 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 right 1 33.0712401867 33.3721010685 33.6644291878 34.2346360683
5 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 left 1 34.2576081753 34.5585811138 34.8508851528 35.5796401501
6 0.3 0.3 1 0.3 0.01 4.0 0.6 0.42 90.0 right 1 35.6027870178 35.9035630226 36.195909977 36.9080650806
7 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 90.0 right 1 36.9311909676 37.232022047 37.5243861675 38.30331707
8 0.3 0.3 -1 0.3 0.2 4.0 0.0 0.42 90.0 left 1 38.3263971806 38.6271870136 38.9196050167 39.2985560894
9 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 22.0 right 0 39.320649147 39.6214370728 39.9138150215 40.5593481064
10 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 right 1 40.5821950436 40.8829860687 41.1754460335 41.687194109
11 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.8 0.42 90.0 left 1 41.710059166 42.0108640194 42.3033461571 42.7900071144
12 0.3 0.3 1 0.3 0.04472135955 4.0 0.8 0.42 22.0 right 1 42.8129560947 43.1137571335 43.4061570168 44.060696125
13 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 right 1 44.0828549862 44.3837020397 44.6760761738 45.2630610466
14 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 22.0 right 1 45.2859811783 45.5867881775 45.8791179657 46.4246070385
15 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 right 1 46.4556581974 46.7564580441 47.0488901138 47.7695910931
16 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 22.0 left 0 47.7924621105 48.0931921005 48.3856070042 49.3233640194
17 0.3 0.3 -1 0.3 0.01 4.0 0.4 0.42 22.0 right 0 49.3463680744 49.6471459866 49.9396190643 50.6352910995
18 0.3 0.3 1 0.3 0.0164754897244 4.0 0.6 0.42 90.0 left 0 50.6581370831 50.9588890076 51.2513082027 52.1140890121
19 0.3 0.3 1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 left 0 52.1368870735 52.4376711845 52.7301471233 53.5844480991
20 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.2 0.42 90.0 right 0 53.6073560715 53.9081571102 54.2005791664 54.7964670658
21 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 90.0 right 0 54.8187971115 55.1196231842 55.4119560719 56.0911049843
22 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.2 0.42 22.0 right 0 56.1138219833 56.4146120548 56.7069680691 57.4359881878
23 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 left 1 57.4589490891 57.7596831322 58.052090168 58.747508049
24 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.6 0.42 22.0 right 0 58.7706251144 59.0714201927 59.3637881279 60.0341260433
25 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 90.0 right 1 60.0572149754 60.3580021858 60.650480032 61.22894907
26 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.0 0.42 22.0 left 1 61.2519490719 61.5527741909 61.8451421261 62.5657670498
27 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 22.0 left 1 62.588793993 62.889549017 63.181910038 63.7857429981
28 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 left 1 63.8085491657 64.1093461514 64.4017951488 65.1807019711
29 0.3 0.3 1 0.3 0.01 4.0 0.6 0.42 22.0 left 0 65.203813076 65.5046050549 65.7970299721 66.4260530472
30 0.3 0.3 1 0.3 0.0271441761659 4.0 0.8 0.42 22.0 left 0 66.4486980438 66.7494761944 67.0419039726 67.6705319881
31 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 90.0 left 1 67.6935811043 67.9943580627 68.2867081165 69.0075659752
32 0.3 0.3 -1 0.3 0.121392446201 4.0 0.6 0.42 90.0 right 0 69.0387179852 69.3393909931 69.6318511963 70.3942461014
33 0.3 0.3 1 0.3 0.121392446201 4.0 0.6 0.42 90.0 left 0 70.4171521664 70.7179250717 71.0104219913 71.7726991177
34 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.4 0.42 22.0 right 0 71.7957730293 72.096529007 72.3890001774 73.2520611286
35 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 90.0 right 0 73.274616003 73.5753960609 73.8677201271 74.688585043
36 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 90.0 right 1 74.7116501331 75.0123710632 75.3048532009 76.183838129
37 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.6 0.42 90.0 left 1 77.4101421833 77.710955143 78.0033740997 78.8660671711
38 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.8 0.42 22.0 left 1 78.8889510632 79.189740181 79.4821951389 80.3705000877
39 0.3 0.3 -1 0.3 0.2 4.0 0.4 0.42 90.0 left 1 80.3928360939 80.6936151981 80.986066103 81.9658691883
40 0.3 0.3 -1 0.3 0.01 4.0 0.6 0.42 90.0 right 0 81.9885861874 82.2893970013 82.5818030834 83.3524560928
41 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 90.0 left 1 83.3755121231 83.6762521267 83.9687139988 84.789853096
42 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 90.0 right 0 84.8125450611 85.1133000851 85.4057450294 86.243309021
43 0.3 0.3 1 0.3 0.04472135955 4.0 0.2 0.42 22.0 right 1 86.2663111687 86.5670189857 86.8594760895 87.5383319855
44 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 right 1 87.5613150597 87.8620569706 88.1544780731 88.7830700874
45 0.3 0.3 -1 0.3 0.04472135955 4.0 0.0 0.42 90.0 right 0 88.8061301708 89.1068890095 89.3993401527 90.2374529839
46 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 left 1 90.2598180771 90.5606851578 90.8530440331 91.6571240425
47 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 22.0 right 1 91.6802041531 91.9809601307 92.2733471394 93.0026140213
48 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 left 0 93.0253181458 93.3260951042 93.6185231209 94.4392299652
