Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.75   4   0   0.07368   0.42   1   1   4   0.3   right   1   
2   0.633333   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
3   0.75   1   216   0.07368   0.42   1   1   4   0.3   right   1   
4   0.633333   4   288   0.01   0.42   -1   1   4   0.308333   left   1   
5   0.683333   1   0   0.07368   0.42   1   1   4   0.3   right   1   
6   0.516667   4   72   0.2   0.42   -1   1   4   0.3   left   1   
7   0.55   1   144   0.2   0.42   1   1   4   0.3   right   1   
8   0.716667   1   216   0.12139   0.42   1   1   4   0.3   right   1   
9   0.733333   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
10   0.65   1   0   0.2   0.42   1   1   4   0.3   right   1   
11   1.65   1   288   0.01   0.42   1   1   4   0.308333   right   1   
12   0.65   1   0   0.01648   0.42   -1   1   4   0.3   left   1   
13   0.6   1   144   0.04472   0.42   1   1   4   0.3   right   1   
14   0.616667   4   72   0.04472   0.42   -1   1   4   0.3   left   1   
15   0.666667   1   288   0.2   0.42   1   1   4   0.3   right   1   
16   0.7   1   144   0.027144   0.42   -1   1   4   0.3   right   0   
17   0.7   4   288   0.01648   0.42   1   1   4   0.3   right   1   
18   0.633333   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
19   0.733333   1   72   0.01648   0.42   -1   1   4   0.3   right   0   
20   0.75   1   288   0.01648   0.42   -1   1   4   0.3   left   1   
21   0.733333   1   216   0.01648   0.42   1   1   4   0.3   right   1   
22   0.766667   4   216   0.12139   0.42   1   1   4   0.3   right   1   
23   0.666667   4   0   0.04472   0.42   1   1   4   0.3   left   0   
24   0.633333   4   0   0.01648   0.42   -1   1   4   0.3   right   0   
25   0.75   1   0   0.027144   0.42   -1   1   4   0.3   right   0   
26   0.616667   4   72   0.01648   0.42   -1   1   4   0.3   right   0   
27   0.783333   4   72   0.12139   0.42   -1   1   4   0.3   right   0   
28   0.633333   4   72   0.01648   0.42   1   1   4   0.3   left   0   
29   0.733333   1   288   0.04472   0.42   1   1   4   0.3   right   1   
30   0.583333   1   288   0.01648   0.42   1   1   4   0.3   left   0   
31   0.516667   4   144   0.07368   0.42   1   1   4   0.3   left   0   
32   0.616667   4   216   0.027144   0.42   1   1   4   0.3   right   1   
33   0.783333   1   144   0.027144   0.42   1   1   4   0.3   right   1   
34   0.7   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
35   1.43333   1   144   0.01648   0.42   1   1   4   0.3   left   0   
36   0.633333   1   216   0.027144   0.42   -1   1   4   0.3   right   0   
37   0.666667   4   288   0.07368   0.42   1   1   4   0.3   right   1   
38   0.716667   1   72   0.04472   0.42   1   1   4   0.3   right   1   
39   0.683333   4   144   0.04472   0.42   1   1   4   0.3   right   1   
40   0.833333   1   288   0.01   0.42   -1   1   4   0.308333   right   0   
41   0.6   4   288   0.04472   0.42   1   1   4   0.3   left   0   
42   0.716667   4   216   0.01   0.42   -1   1   4   0.308333   right   0   
43   0.983333   4   72   0.12139   0.42   1   1   4   0.3   right   1   
44   0.516667   4   0   0.2   0.42   -1   1   4   0.3   left   1   
45   0.683333   4   0   0.01   0.42   -1   1   4   0.308333   right   0   
46   0.633333   4   0   0.027144   0.42   -1   1   4   0.3   right   0   
47   0.966666   1   144   0.01   0.42   1   1   4   0.308333   right   1   
48   0.616667   4   216   0.01648   0.42   1   1   4   0.3   left   0   
49   0.716667   1   144   0.04472   0.42   -1   1   4   0.3   right   0   
50   0.583333   1   0   0.2   0.42   -1   1   4   0.3   right   0   
51   0.633333   1   144   0.01648   0.42   -1   1   4   0.3   left   1   
52   0.7   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
53   0.616667   4   72   0.027144   0.42   -1   1   4   0.3   left   1   
54   0.716667   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
55   0.883333   1   216   0.027144   0.42   1   1   4   0.3   left   0   
56   0.766667   1   0   0.04472   0.42   1   1   4   0.3   right   1   
57   0.8   4   72   0.04472   0.42   1   1   4   0.3   right   1   
58   0.966666   1   72   0.12139   0.42   1   1   4   0.3   right   1   
59   0.816667   1   0   0.027144   0.42   1   1   4   0.3   right   1   
60   0.55   1   144   0.2   0.42   -1   1   4   0.3   right   0   
61   1.03333   1   216   0.01   0.42   -1   1   4   0.308333   left   1   
62   0.95   4   72   0.027144   0.42   1   1   4   0.3   right   1   
63   0.866666   1   288   0.027144   0.42   -1   1   4   0.3   right   0   
64   0.816667   1   72   0.027144   0.42   -1   1   4   0.3   right   0   
65   0.8   1   216   0.2   0.42   -1   1   4   0.3   left   1   
66   0.8   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
67   0.75   4   72   0.07368   0.42   1   1   4   0.3   right   1   
68   0.85   4   144   0.2   0.42   -1   1   4   0.3   left   1   
69   0.8   1   288   0.027144   0.42   1   1   4   0.3   left   0   
70   0.766667   1   216   0.04472   0.42   -1   1   4   0.3   right   0   
71   0.85   4   288   0.01648   0.42   -1   1   4   0.3   right   0   
72   0.866666   1   72   0.01   0.42   1   1   4   0.308333   right   1   
73   0.783333   4   0   0.01   0.42   1   1   4   0.308333   right   1   
74   0.816667   1   72   0.2   0.42   -1   1   4   0.3   left   1   
75   0.75   4   288   0.2   0.42   1   1   4   0.3   right   1   
76   0.75   4   144   0.027144   0.42   -1   1   4   0.3   left   1   
77   0.816667   4   0   0.027144   0.42   1   1   4   0.3   right   1   
78   0.766667   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
79   0.8   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
80   0.85   1   0   0.01   0.42   -1   1   4   0.308333   left   1   
81   0.733333   4   288   0.04472   0.42   -1   1   4   0.3   right   0   
82   0.733333   4   144   0.027144   0.42   1   1   4   0.3   right   1   
83   0.85   1   72   0.027144   0.42   1   1   4   0.3   left   0   
84   0.85   1   72   0.2   0.42   1   1   4   0.3   right   1   
85   0.933333   1   0   0.01   0.42   1   1   4   0.308333   right   1   
86   0.65   4   216   0.07368   0.42   1   1   4   0.3   left   0   
87   0.866666   1   288   0.07368   0.42   -1   1   4   0.3   left   1   
88   0.783333   4   216   0.01   0.42   1   1   4   0.308333   left   0   
89   0.866666   1   288   0.12139   0.42   1   1   4   0.3   right   1   
90   0.85   1   72   0.01   0.42   -1   1   4   0.308333   right   0   
91   0.716667   1   0   0.12139   0.42   1   1   4   0.3   right   1   
92   0.766667   1   216   0.12139   0.42   -1   1   4   0.3   left   1   
93   0.7   1   72   0.12139   0.42   -1   1   4   0.3   left   1   
94   0.7   1   144   0.07368   0.42   1   1   4   0.3   right   1   
95   0.833333   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
96   0.833333   4   0   0.12139   0.42   1   1   4   0.3   right   1   
97   0.783333   4   216   0.01648   0.42   -1   1   4   0.3   left   1   
98   0.766667   4   216   0.2   0.42   -1   1   4   0.3   left   1   
99   0.866666   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
