Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.85   1   216   0.12139   0.42   1   1   4   0.3   right   1   
2   0.816667   1   144   0.12139   0.42   1   1   4   0.3   right   1   
3   0.866666   4   0   0.2   0.42   -1   1   4   0.3   left   1   
4   0.85   1   72   0.07368   0.42   1   1   4   0.3   right   1   
5   0.916666   4   288   0.07368   0.42   1   1   4   0.3   right   1   
6   0.883333   1   0   0.01648   0.42   -1   1   4   0.3   right   0   
7   0.85   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
8   0.9   4   216   0.01   0.42   1   1   4   0.308333   right   1   
9   0.966666   4   216   0.2   0.42   1   1   4   0.3   right   1   
10   0.783333   1   0   0.04472   0.42   1   1   4   0.3   right   1   
11   0.85   4   288   0.12139   0.42   1   1   4   0.3   right   1   
12   0.983333   4   144   0.01648   0.42   1   1   4   0.3   right   1   
13   0.8   1   216   0.12139   0.42   -1   1   4   0.3   left   1   
14   0.783333   1   72   0.01648   0.42   -1   1   4   0.3   right   0   
15   0.816667   1   0   0.027144   0.42   1   1   4   0.3   right   1   
16   2.33333   4   144   0.12139   0.42   1   1   4   0.3   right   1   
17   0.9   4   72   0.01   0.42   -1   1   4   0.308333   right   0   
18   0.933333   4   0   0.04472   0.42   1   1   4   0.3   right   1   
19   0.75   1   0   0.2   0.42   1   1   4   0.3   right   1   
20   0.883333   4   288   0.2   0.42   -1   1   4   0.3   left   1   
21   0.9   1   72   0.2   0.42   -1   1   4   0.3   left   1   
22   1.15   4   288   0.01648   0.42   -1   1   4   0.3   left   1   
23   0.8   1   288   0.12139   0.42   1   1   4   0.3   right   1   
24   0.883333   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
25   0.966666   1   144   0.01648   0.42   1   1   4   0.3   right   1   
26   0.833333   4   144   0.2   0.42   1   1   4   0.3   right   1   
27   0.966666   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
28   0.883333   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
29   0.916666   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
30   0.916666   1   0   0.07368   0.42   1   1   4   0.3   right   1   
31   0.783333   4   288   0.2   0.42   1   1   4   0.3   right   1   
32   0.766667   4   288   0.04472   0.42   1   1   4   0.3   right   1   
33   0.816667   1   216   0.01   0.42   1   1   4   0.308333   right   1   
34   0.866666   4   288   0.01   0.42   1   1   4   0.308333   right   1   
35   0.8   1   288   0.01648   0.42   1   1   4   0.3   right   1   
36   1.05   4   72   0.01   0.42   1   1   4   0.308333   left   0   
37   0.883333   4   144   0.04472   0.42   1   1   4   0.3   left   0   
38   1.15   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
39   0.883333   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
40   0.95   1   288   0.027144   0.42   1   1   4   0.3   left   0   
41   0.85   1   216   0.01   0.42   -1   1   4   0.308333   left   1   
42   0.966666   1   0   0.12139   0.42   -1   1   4   0.3   left   1   
43   0.816667   1   72   0.01648   0.42   1   1   4   0.3   left   0   
44   0.833333   4   0   0.2   0.42   1   1   4   0.3   right   1   
45   0.9   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
46   0.783333   1   216   0.07368   0.42   1   1   4   0.3   right   1   
47   0.916666   1   216   0.2   0.42   -1   1   4   0.3   left   1   
48   0.933333   4   216   0.07368   0.42   1   1   4   0.3   right   1   
49   0.85   1   288   0.01   0.42   -1   1   4   0.308333   right   0   
50   0.916666   1   0   0.12139   0.42   1   1   4   0.3   right   1   
51   1.1   1   0   0.01   0.42   1   1   4   0.308333   right   1   
52   0.916666   4   216   0.027144   0.42   -1   1   4   0.3   right   0   
53   0.983333   4   72   0.027144   0.42   1   1   4   0.3   right   1   
54   0.783333   1   144   0.2   0.42   1   1   4   0.3   right   1   
55   0.833333   1   216   0.027144   0.42   -1   1   4   0.3   left   1   
56   0.816667   4   144   0.01   0.42   -1   1   4   0.308333   right   0   
57   0.9   4   216   0.2   0.42   -1   1   4   0.3   left   1   
58   1.61667   4   72   0.04472   0.42   1   1   4   0.3   left   0   
59   0.866666   1   216   0.04472   0.42   1   1   4   0.3   right   1   
60   0.816667   1   288   0.04472   0.42   1   1   4   0.3   right   1   
61   0.833333   1   288   0.07368   0.42   1   1   4   0.3   right   1   
62   0.916666   4   0   0.027144   0.42   1   1   4   0.3   right   1   
63   0.866666   4   0   0.01   0.42   -1   1   4   0.308333   right   0   
64   1.16667   4   72   0.12139   0.42   -1   1   4   0.3   right   0   
65   0.85   1   0   0.2   0.42   -1   1   4   0.3   left   1   
66   0.833333   4   0   0.07368   0.42   1   1   4   0.3   right   1   
67   0.8   1   72   0.12139   0.42   1   1   4   0.3   right   1   
68   0.833333   1   0   0.01648   0.42   1   1   4   0.3   right   1   
69   0.866666   1   144   0.027144   0.42   1   1   4   0.3   right   1   
70   0.983333   4   288   0.01   0.42   -1   1   4   0.308333   right   0   
71   0.933333   4   216   0.04472   0.42   1   1   4   0.3   right   1   
72   0.783333   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
73   1.01667   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
74   0.833333   1   216   0.01648   0.42   1   1   4   0.3   right   1   
75   0.966666   4   216   0.07368   0.42   -1   1   4   0.3   left   1   
76   0.833333   4   72   0.01648   0.42   1   1   4   0.3   right   1   
77   0.766667   1   144   0.2   0.42   -1   1   4   0.3   left   1   
78   0.85   4   144   0.04472   0.42   -1   1   4   0.3   right   0   
79   0.85   4   72   0.04472   0.42   -1   1   4   0.3   right   0   
80   0.85   4   288   0.04472   0.42   -1   1   4   0.3   right   0   
81   0.866666   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
82   0.75   4   72   0.2   0.42   1   1   4   0.3   right   1   
83   0.866666   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
84   0.816667   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
85   1.28333   1   72   0.027144   0.42   1   1   4   0.3   right   1   
