trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 90.0 right 0 29.2627389431 29.6866879463 30.0988199711 31.4307010174
2 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 90.0 left 1 31.4649498463 31.8887178898 32.3009569645 33.4687559605
3 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 right 1 33.5021150112 33.9260540009 34.3381309509 35.2821929455
4 0.3 0.3 1 0.3 0.01 4.0 0.6 0.42 90.0 left 0 35.3155930042 35.7396409512 36.1516368389 37.5670750141
5 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.0 0.42 22.0 left 1 37.6001398563 38.0242688656 38.4362959862 39.462790966
6 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 90.0 right 1 39.4960730076 39.9200539589 40.3322138786 41.700469017
7 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 90.0 left 0 41.7336118221 42.1574230194 42.569685936 43.6080868244
8 0.3 0.3 -1 0.3 0.2 4.0 0.0 0.42 90.0 left 1 43.6413128376 44.0652918816 44.4774768353 46.6583209038
9 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.6 0.42 90.0 right 0 46.6912050247 47.1153788567 47.5274429321 48.8602459431
10 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 left 1 48.905107975 49.3291678429 49.7412538528 50.7564058304
11 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.2 0.42 90.0 left 1 50.7893488407 51.213326931 51.6254229546 52.6638958454
12 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 left 1 52.6970670223 53.1210429668 53.5331377983 55.1837677956
13 0.3 0.3 1 0.3 0.0164754897244 4.0 0.2 0.42 90.0 left 0 55.217140913 55.6410579681 56.0532348156 57.4922230244
14 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 left 1 57.5369579792 57.9609899521 58.3730828762 59.3170638084
15 0.3 0.3 -1 0.3 0.121392446201 4.0 0.6 0.42 90.0 left 1 59.350525856 59.7744920254 60.1866049767 61.2366609573
16 0.3 0.3 1 0.3 0.01 4.0 0.2 0.42 90.0 left 0 61.2699308395 61.6940059662 62.1062059402 63.1799960136
17 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 90.0 left 0 63.2248129845 63.6486968994 64.0609898567 65.8647048473
18 0.3 0.3 1 0.3 0.04472135955 4.0 0.0 0.42 90.0 left 0 65.8979709148 66.3219180107 66.7340838909 68.5143709183
19 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 left 1 68.5476648808 68.9715340137 69.3836510181 70.3986690044
20 0.3 0.3 1 0.3 0.01 4.0 0.0 0.42 90.0 left 0 70.4318189621 70.8556969166 71.2678458691 73.3306548595
21 0.3 0.3 1 0.3 0.2 4.0 0.2 0.42 22.0 right 1 73.3641228676 73.7879548073 74.2002358437 75.4387497902
22 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 right 1 75.4720230103 75.8959479332 76.3080759048 78.4417209625
23 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 22.0 left 1 78.4747998714 78.8987298012 79.3109138012 80.5025858879
24 0.3 0.3 -1 0.3 0.01 4.0 0.4 0.42 22.0 right 0 80.5355818272 80.9595019817 81.3716638088 82.7279639244
25 0.3 0.3 -1 0.3 0.121392446201 4.0 0.2 0.42 22.0 left 1 82.7612378597 83.1851909161 83.597383976 84.9183239937
26 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 left 1 84.9517049789 85.3756268024 85.7877719402 86.7319309711
27 0.3 0.3 1 0.3 0.01 4.0 0.0 0.42 22.0 left 0 86.7651689053 87.1890900135 87.6013679504 88.5457279682
28 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 90.0 left 1 88.5786008835 89.0027220249 89.4147748947 90.5472760201
29 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 90.0 left 1 90.5805408955 91.0044708252 91.4166297913 93.3030698299
30 0.3 0.3 1 0.3 0.04472135955 4.0 0.2 0.42 90.0 left 0 93.3361449242 93.7602078915 94.1723968983 95.2815959454
31 0.3 0.3 1 0.3 0.121392446201 4.0 0.2 0.42 90.0 left 0 95.3144907951 95.7384848595 96.1505858898 97.5895118713
32 0.3 0.3 1 0.3 0.04472135955 4.0 0.8 0.42 90.0 left 0 97.6226480007 98.0466330051 98.4588029385 99.7211158276
33 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 90.0 left 0 99.7540919781 100.178053856 100.590209007 102.370600939
34 0.3 0.3 1 0.3 0.2 4.0 0.0 0.42 90.0 left 0 102.415542841 102.839461803 103.251624823 105.220186949
35 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.8 0.42 90.0 left 1 105.253587961 105.677515984 106.089706898 107.210386992
36 0.3 0.3 -1 0.3 0.04472135955 4.0 0.0 0.42 90.0 right 0 107.243703842 107.667582989 108.07989502 109.106411934
37 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 90.0 right 1 109.13969779 109.563766956 109.975759983 111.332012892
38 0.3 0.3 -1 0.3 0.121392446201 4.0 0.8 0.42 90.0 left 1 111.365384817 111.789295912 112.201453924 113.404685974
39 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 90.0 left 0 113.438035011 113.861832857 114.274060011 115.700956821
40 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 left 0 115.734208822 116.158255816 116.570415974 118.267951012
41 0.3 0.3 -1 0.3 0.01 4.0 0.4 0.42 90.0 left 1 118.301386833 118.725327969 119.137480021 120.340544939
42 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 90.0 left 1 120.373921871 120.797896862 121.210052013 122.27221179
43 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 left 1 122.305384874 122.729395866 123.141477823 124.168166876
44 0.3 0.3 1 0.3 0.0164754897244 4.0 0.6 0.42 90.0 left 0 124.201257944 124.625118017 125.037340879 126.275789022
45 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 22.0 right 1 126.30923295 126.733016968 127.145193815 128.218961954
46 0.3 0.3 -1 0.3 0.2 4.0 0.8 0.42 22.0 left 1 128.252269983 128.676136971 129.088251829 130.244449854
47 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 left 0 130.277593851 130.70169282 131.113721848 132.257972956
48 0.3 0.3 1 0.3 0.121392446201 4.0 0.6 0.42 90.0 left 0 132.291306973 132.715284824 133.127460957 134.059953928
49 0.3 0.3 -1 0.3 0.04472135955 4.0 0.8 0.42 90.0 left 1 134.093016863 134.517042875 134.929171801 136.050046921
50 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 90.0 left 0 136.083355904 136.507287025 136.919469833 138.699688911
51 0.3 0.3 -1 0.3 0.121392446201 4.0 0.4 0.42 90.0 left 1 138.732941866 139.15693593 139.569059849 141.078224897
52 0.3 0.3 -1 0.3 0.2 4.0 0.2 0.42 22.0 left 1 141.111582994 141.53549099 141.947712898 143.774780989
53 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.6 0.42 90.0 left 1 143.808296919 144.232349873 144.644444942 146.377569914
54 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 right 0 146.41087389 146.834752798 147.246882915 148.344326019
55 0.3 0.3 1 0.3 0.0271441761659 4.0 0.6 0.42 90.0 left 0 148.377552986 148.801350832 149.213506937 150.252014875
56 0.3 0.3 -1 0.3 0.04472135955 4.0 0.0 0.42 22.0 left 1 150.285221815 150.709047794 151.121201992 152.124256849
57 0.3 0.3 1 0.3 0.0736806299728 4.0 0.0 0.42 22.0 right 1 152.157611847 152.581408978 152.993608952 153.93795681
58 0.3 0.3 1 0.3 0.0736806299728 4.0 0.4 0.42 22.0 right 1 153.971114874 154.394979 154.807176828 155.833572865
59 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.6 0.42 22.0 right 0 155.866997957 156.290936947 156.703049898 157.753261805
60 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 90.0 left 1 157.786448956 158.210408926 158.622561932 159.696360826
61 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.8 0.42 22.0 left 1 159.729640007 160.153504848 160.56567502 161.592248917
62 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 22.0 right 0 161.625463963 162.049408913 162.461574793 163.40583086
63 0.3 0.3 -1 0.3 0.04472135955 4.0 0.2 0.42 90.0 left 1 163.439030886 163.862989902 164.275043011 165.160327911
